query_id,query,product_id,title,description,relevance
1,black leather office chair,B0002KNRA8,Classic Leather Executive CEO Office Swivel Chair in Black Leather Match,"This is a Classic Leather Executive CEO Chair with Pneumatic Lift and Swivel Seat. The Chair is crafted in black leather match (genuine leather and PVC), and is simple yet resourceful in providing cla",
1,black leather office chair,B000BPB9DQ,"""Madison"" Leather Executive Office Chair w/ Black Base & Gas Lift & Tilt w/ Lumbar Support",,
1,black leather office chair,B000BX1OXS,Classic Leather Executive CEO Office Swivel Chair in Black Leather Match,"This is a Classic Leather Executive CEO Chair with Pneumatic Lift and Swivel Seat. The Chair is crafted in black leather match (genuine leather and PVC), and is simple yet resourceful in providing cla",
1,black leather office chair,B000RFSIPW,"""Bowen"" Leather Executive Office Chair w/ Black Base & Gas Lift & Tilt w/ Lumbar Support",,
1,black leather office chair,B00196P6JY,Boss Office Products High Back Leather Plus Chair in Black,"Manufactured by Boss Office Products, the Boss High Back Leather Plus Chair starts off with a 27"" nylon base that will keep the unit sturdy while you work. The hooded double wheel casters make it easy",
1,black leather office chair,B0019QF7I4,Boss Office Products Executive Leather Budged Guest Chair in Black,"The Boss Executive Leather Budget Guest Chair by Boss Office Products measures in at 25.5"" W x 26"" D x 41"" H. This unit is designed for maximum comfort, while offering an ergonomic curve for proper lu",
1,black leather office chair,B0019QITHU,Boss Office Products Executive Leather Guest Chair with Mahgany Finish in Black,The Boss Executive Leather Guest Chair W/ Mahogany Finished Wood is a stationary chair that is elegantly designed with black Italian leather upholstery. The chair by Boss Office Products measures 24.5,
1,black leather office chair,B001BX1JAK,High-Back Leather Office Chair with Inlay Chrome Arms Leather: Black,BT981BK Leather: Black Pictured in Black Features: -Office chair.-Executive leather office chair.-Built-in lumbar support.-Tilt tension control.-Tilt lock mechanism.-Pneumatic seat height adjustment.-,
1,black leather office chair,B001EDP1FG,"""Madison"" Leather Executive Office Chair w/ Black Base & Gas Lift & Tilt w/ Lumbar Support",########################################################################################################################################################################################################,
1,black leather office chair,B001G74KX4,Boss Office Products Leather Sled Base Side Chair in Black,Fully upholstered in Black Leather Plus. Polished tubular steel frame coated with Black scratch resistant finish. Thick contoured cushions for added comfort support. Moves smoothly over hard surface a,
1,black leather office chair,B001MS6Q9I,"Alera Nico Guest Chair, Black Leather","Black Caresoft upholstery with the look and feel of top-grain leather. Tufted cushions, lumbar support and padded arms to provide all day comfort. Black padded polyurethane loop arms. Black steel fram",
1,black leather office chair,B001MS6YKY,Mayline ULEXBLK Leather Seating Series High-Back Swivel/Tilt Chair Black Leather,"The Series 100 High-Back has generously-sized sculpted deep cushions, padded leather cantilevered armrests, and a deluxe knee-tilt control. The Seat Height is 19"" at its lowest point and 22"" at its hi",
1,black leather office chair,B001QKF5QC,Leather Guest Chair,"OTG3915B Leather: Black This leather chair exemplifies office sophistication. With attractive, soft black leather upholstery, mock leather trim, and upholstered armrests, you are guaranteed satisfacti",
1,black leather office chair,B001THZXGO,Ergo Star 3004 Black Top Grain Leather Executive Office Desk Chairs,Ergo Star's Newest Executive Chair Features ALL DAY Comfort in TOP GRAIN Black Leather. Commercial Quality at a Consumer Cost!,
1,black leather office chair,B002HI4LYO,"""Pendleton"" Leather Executive Office Chair w/ Black Base & Gas Lift & Tilt w/ Lumbar Support",,
1,black leather office chair,B0039KJ63K,"OFM Core Collection Big and Tall Executive Leather Office Chair, in Black",This gorgeous leather chair is tailor-made for people of almost any size or height. The extra thick foam seat is made with comfort in mind and the heavy-duty construction is safe and stable. Beautiful,
1,black leather office chair,B003BZG1D6,Boss Office Products Leather Sled Base Side Chair in Black,Fully upholstered in Black Leather Plus. Polished tubular steel frame coated with Black scratch resistant finish. Thick contoured cushions for added comfort support. Moves smoothly over hard surface a,
1,black leather office chair,B003ICVYJS,True Innovations Durable Leather Office Chair - Black,"True Innovations Bonded Leather Managers Chair, Multiple Colors: Black bonded leather upholstery Swivel-tilt mechanism Pneumatic height adjustment Tilt tension and lock-out Dual wheel casters Thick pa",2
1,black leather office chair,B003LQV3G0,Office Star Products Deluxe Faux Leather Office Chair Black,Deluxe Black Faux Leather Managers Chair with Padded Arms.. Thick Padded Contour Seat and Back with Built-in Lumbar Support. One Touch Pneumatic Seat Height Adjustment. Locking Tilt Control with Adjus,2
1,black leather office chair,B004T3CL60,"Coaster Leather Mesh Office Chair, Black","Coaster 800052 Leather Mesh Office Chair, Black",2
1,black leather office chair,B004V68ZIS,"OSP Home Furnishings Office Star Breeze Black Eco Leather Club Chair with Cherry Finish Legs, SL2271EC3",Enhance your lifestyle and ambiance with this versatile and handsome faux leather breeze Club chair. Constructed with durable wood framing this comfortable seating option features sold wood Cherry fin,
1,black leather office chair,B006CEHK3I,PU Leather High Back Ergonomic Office Chair - Black,"The simple Black PU leather high back ergonomic office chair brings great contemporary style to your home or office. The chair also features a high back design to give it that ""executive"" feel along w",
1,black leather office chair,B006RGILLQ,High Back Black Leather Executive Office Chair [BT-9996-BK-GG],Overall: 26.75''W x 24''D x 47.75'' - 51.5''HSeat Size: 21.75''W x 18''D x 18.5 - 21.25''HSeat Thickness: Back Size: 22.25''W x 30.5''HArm Height From Floor: Arm Height From Seat: 10.5''HOttoman Size:,
1,black leather office chair,B0074NWGMG,HomCom Modern Design Ribbed Mid Back Synthetic Leather Office Chair - Black,"With a stylish shape with stitched ribbing, this synthetic leather office chair works in any office. Comfortable and trendy with an adjustable height and locking tilt.",
1,black leather office chair,B007BLHPYA,"HON Scatter Guest Chair with Arms- Leather Stacking Office Furniture , Black (VL616)","Make everyone comfortable anywhere in your space by positioning the HON Scatter collection of guest chairs from the welcoming area to private offices. These lightweight, versatile chairs stack four hi",
1,black leather office chair,B007BLHPYU,"HON Scatter Guest Chair - Leather Stacking Chair Office Furniture, Black (HVL606)","Make everyone comfortable anywhere in your space by positioning the HON Scatter collection of guest chairs from the welcoming area to private offices. These lightweight, versatile chairs stack four hi",
1,black leather office chair,B007Q34VB8,"HON, Black Volt Leather Office Chair Sit-To-Stand Seating, Foot Ring, 250lb Max Weight With Wheels for Computer/Desk, Task Stool","Volt seating from HON offers upscale style, full-scale comfort and impressive quality at a surprisingly affordable price. This task stool has generous seat and back cushions that are contoured for com",
1,black leather office chair,B007UV7WX0,"Kore Wobble Office Chair - Standing Desk Stool, Task Chair, Perfect for Active Sitting, Better than a Balance Ball for Office - Everyday - Black Leather-Like",Kore Everyday Wobble Chair in Black Leather - Winner of the 2014 Family Choice Award Keep your body and core active and healthy at work with the Kore Stool - The Stool that Really Rocks! Taking stool ,
1,black leather office chair,B008GO46MA,Black Leather Manager Office Chair with Deep Soft Body Pillows,,
1,black leather office chair,B00AZWVTUI,"Office Star Space Seating Professional Light Air Grid Back Chair with Eco Leather Seat, Black","Office Star SPACE Seating Professional Light Air Grid Back Chair with Eco Leather Seat, featuring Breathable Light Air Grid Back with Adjustable Lumbar Support, Thick Padded Eco Leather Seat, Pneumati",
1,black leather office chair,B00C1066D2,"OFFICE FACTOR Black Faux Leather Office Chair, Ergonomic Office Chair, Swivel High Back Office Chair",,
1,black leather office chair,B00C10CAHS,"OFFICE FACTOR Bonded Leather Black Office Chair, Desk Chair, Ergonomic Office Chair, Swivel Office Chair with Caster Wheels",,
1,black leather office chair,B00C1LRQHQ,"OFFICE FACTOR Leather Executive Office Chair, Ergonomic Chair with Lumbar Support, Swivel Chair, Black Leather Executive Chair for Office",,
1,black leather office chair,B00CD88WM0,Blue Mesh Back Home Office Desk Chairs With Black Leather Seat & Arms #B176BE,Enjoy ALL DAY Comfort in These Affordable Mesh Back Desk Chairs With Premium Black Leather Seat. Seat Size: 19''W x 21''D Back Size: 19.75''W x 19.75''H Seat Height: 17.5 - 20.75''H Arm Height From Fl,
1,black leather office chair,B00FFS5SMC,Serta Commercial Office Chair in Black Bonded Leather,"Serta by True Innovations - Office Chairs - 44425 - For more than 75 years, Serta has been an industry leader in comfort products worldwide. That tradition of innovation and quality continues today. F",
1,black leather office chair,B00GQPMJB6,Brato Mid Back Black Leather Office Task Armless Chair,"Mid back, Back tension adjustment knob, Armless, Black leathersoft upholstery, Leathersoft is leather and poly for added softness and durability , Pneumatic seat height adjustment, Heavy duty nylon ba",
1,black leather office chair,B00HNER64Y,"Staples Herrick Bonded Leather Guest Chair, Black","Durable, comfortable guest chairs perfect for the office space or meeting room. Black bonded leather seating surface Brushed Nickel Finish Padded armrests Built-in lumbar support Waterfall seat edge p",
1,black leather office chair,B00I3PQ1DE,Luxo High Back Black PU Leather Executive Office Chair,,
1,black leather office chair,B00J3U63JU,"OFM Core Collection Avenger Series Big and Tall Mid Back Leather Executive Chair, in Black (811-LX-BLK)","The Avenger Series Big & Tall executive chair is upholstered with soft, deep black bonded leather that is comfortable yet durable, making it a smart and stylish solution to any application. It feature",
1,black leather office chair,B00JBXKDAY,Best Deal Depot Modern High-Back Ribbed Upholstered Leather Executive Office Desk Chair Black,"Overview This office chair combines smooth, modern ribbed lines with rich black faux leather upholstery. The frame is brilliant chrome plated steel. This ultra-functional chair offers a rolling, swive",
1,black leather office chair,B00KBVGT6C,"Office Star Space Seating Professional Light Air Grid Back Chair with Eco Leather Seat, Black","Office Star SPACE Seating Professional Light Air Grid Back Chair with Eco Leather Seat, featuring Breathable Light Air Grid Back with Adjustable Lumbar Support, Thick Padded Eco Leather Seat, Pneumati",
1,black leather office chair,B00NG7Z1NU,"Clearance! Work4U-LC-ZY005 High Back Support Ergonomic Full Function Luxury Leather Office Chair, Executive Office Chair, Real Leather Seat and Back, Aluminum Base, Black","Work4U, as a professional home furniture supplier, provides you wide range of home and office chairs. All Work4U chairs passed the BIFMA testing for safety and durability. Work4U-LC-ZY005 is the premi",
1,black leather office chair,B00OWM97O2,"OFFICE FACTOR Big and Tall Executive Office Chair, Bonded Black Leather Office Chair with Extra Padding, Ergonomic Adjustable Arms, Lumbar Support, 5 Leg Reinforced Base, 400 Lbs Weight Limit","Upscale Contemporary From the elegance of the bonded leather to the shiny silver accents on the base and arms, this plushly padded chair is certain to offer your office an executive appearance that al",2
